-0.93,0.01,-0.41
-0.93,0.01,-0.42
-0.93,0.01,-0.42
-0.93,0.01,-0.42
-0.93,0.01,-0.41
-0.93,0.01,-0.41
-0.93,0.01,-0.41
-0.93,0.01,-0.41
-0.93,0.01,-0.41
-0.93,0.01,-0.41
-0.93,0.01,-0.41
-0.93,0.01,-0.41
-0.93,0.01,-0.41
-0.93,0.01,-0.41
-0.93,0.01,-0.41
-0.93,0.01,-0.41
-0.93,0.01,-0.41
-0.93,0.01,-0.41
-0.93,0.01,-0.41
-0.93,0.01,-0.41
-0.93,0.01,-0.42
-0.93,0.01,-0.42
-0.93,0.01,-0.42
-0.93,0.01,-0.42
-0.93,0.01,-0.42
-0.93,0.01,-0.42
-0.93,0.01,-0.42
-0.93,0.01,-0.41
-0.94
